Company Name,Title,Description,Location,Started On,Finished On
DAT Group,Senior Software Developer,"At DAT, I am involved in rewriting the Java EE backend and Javascript web applications using a modern technology stack. My contributions include implementing software solutions and architectural enhancements and demonstrating problem-solving skills and technical expertise. In parallel, we also extend and maintain the existing service-oriented architecture codebase.  ACTIVITIES:  • Transitioned the development of programming and software development standards for the entire Java and Web software development domain from SOA to RESTful services architecture. • Actively participated in implementing microservices software solutions and architectures to replace the existing SOAP services backend coupled with the Javascript-based frontend. • Worked with team members to develop and improve software components, providing guidance and support. • Implemented new features using TDD and maintained existing code. • Wrote numerous unit tests for every pull request, increasing the test coverage.  ACHIEVEMENTS:  • Proven track record in developing Java-based (web) applications, with expertise in interface technologies. • Achieved proficiency in JavaScript/TypeScript and hands-on experience with UI frameworks, with a focus on React  • Strong knowledge of both SQL and NO-SQL database systems  • Learned how to organize myself, but also how to manage a small team of developers • Developed and presented workshops to the development team to bring them up to speed on new concepts and methodologies, such as REST API architecture, API-first development, microservices with Spring Boot and React • Prepared presentations for management to improve the organization or software development process • Strongly promoted the usage of Udemy for Business as the company's internal learning platform and SwaggerHub as an API-first development toolset. • Planned my future development and growth towards becoming a Software Architect","Ostfildern, Baden-Württemberg, Germany",Sep 2020,
evia,Software Developer,"ACTIVITY: October 2018 - August 2020 • Development of Java Webservice-based Web Application and migration of some modules to microservice architecture using tools like Intellij Idea, Git, Maven, SonarQube, OpenAPI  • Working in our modern technology stack (Java EE 8 / Micronaut) with Angular 7 front-end, deployed on either IBM Websphere Server or inside Docker.  • Development of functional solutions in the context of market-specific integration services and different frontend web interfaces.  • Teamwork with our client, front-end developers, testing team, and operations team • Working in agile project cycles supported by Jira and Confluence • Supporting a CI/CD lifecycle using Jenkins and integration with SonarQube   ACTIVITY: Jan 2018 - Sept 2018  • I joined the newly created Microsoft Delivery department. We started building the company intranet and automating the onboarding process with Microsoft Flow integrated with Sharepoint sites. • On Aug 1st, 2018 I passed the 70483 exams and made the first step toward earning the MCSA App Builder certification.  That means I know my way around HTML5, CSS3, and Javascript, with jQuery and AJAX.  ACTIVITY: Feb 2016 - Dec 2017 • Software maintenance and development of a Java EE application for an important insurance company. Technologies used: Java EE, IBM Websphere Application Server 7 and 8.5, JSP, iText 5.8.  Tools: Rational Application Developer 9.1,  Adobe Acrobat Pro           • We tried to prepare for future client projects by getting certified as Pega 7.1 System Architect. I passed the exam and learned what BPM-oriented development can be.","Stuttgart Area, Germany",Feb 2016,Aug 2020
PRODYNA AG,Junior Software Developer,"ACTIVITY     •  Software development of Liferay 6.0 Portal-based web applications, using Java 6 EE with MySQL DB         for backend and JSP with HTML, CSS, Javascript, and AllloyUI in frontend     •  Deployment and testing of the application on Apache Tomcat server, CI/CD using Jenkins and Maven     •  Quality Assurance using integration with SonarQube     •  Requirements analysis, concept writing, and project planning with SCRUM, using Jira and Confluence  ACHIEVEMENTS     •  Oracle Certified Professional, Java SE 6 Programmer          •  Oracle Certified Expert, Java EE 6 Web Components Developer     •  Getting confident with front-end software development (HTML,  JavaScript(Angular JS, AlloyUI)),         CSS (Bootstrap)","Stuttgart Area, Germany",Nov 2014,Jan 2016
Alpine Electronics R&D Europe GmbH,Software Developer Internship,"ACTIVITY       Software design and  programming of a wide variety of applications and modules inside Alpine        Test Automation Tool, a software framework used by Alpine to perform tests over automotive                     technology. The framework is developed exclusively by the System Integration Team in       Stuttgart.  ACHIEVEMENTS     •  developing ten projects with C# and WPF in 1.3 years     •  writing a top-grade thesis, documenting one of these projects, and getting acquainted with         UML diagrams and design patterns     •  refactoring the user interface from the prototype stage to a modular design, with UI and          business concerns separated, by implementing the MVVM pattern in 17 modules of         the framework     •  solving many bugs concerning data binding and asynchronous updating of the UI and         improving performance, using .Net 4.0 parallel tasks and thread-safe data collections in        MOST and CAN bus device drivers     •  designing a graphical mode of displaying the function and procedures for software modules        with no dedicated user interface. A complex data binding in the presentation layer and an              elaborate reflection implementation were needed to extract the desired information        from the classes     •  manually testing the modules whose business layer I contributed. NUnit testing became          desirable for the team at the time my contract was almost due, leaving me less time to         write unit tests       •  assuring the conformance to StyleCop's recommended coding style and a subset of         Microsoft's .NET Framework Design Guidelines, not only for the most of the code in the          framework    •  documenting the process of Plugin development for ATAT, and some other processes for        Alpine employees with less programming experience in the internal wiki.","Stuttgart, Germany",Sep 2012,Aug 2014
